lat,lon,rep_date,source,sensor,fwi,fuel,ros,sfc,tfc,bfc,hfi,estarea
38.2777,-77.1282,2026-09-05 01:37:00,NASA_z,MODIS,0.9,M1_50,0.180022,0.89184,0.89184,2.14009,116,17.0061
32.884,-84.9212,2026-09-05 01:37:00,NASA_z,MODIS,7.2,D2,0.0780142,0.748944,0.748944,2.79568,65,17.0061
32.8807,-84.9391,2026-09-05 01:37:00,NASA_z,MODIS,7.2,O1b,0.0597408,0.35,0.35,2.7048,48,17.0061
26.3151,-98.7692,2026-09-05 03:13:00,NASA_z,MODIS,50.7,farm,0,0.35,0.35,0.96,0,20.9695
30.1836,-94.7273,2026-09-05 03:15:00,NASA_z,MODIS,0.5,C5,0.00013288,0.0594632,0.0594632,0.572541,0,20.9695
31.3448,-103.013,2026-09-05 03:15:00,NASA_z,MODIS,28.7,M1_50,4.3402,3.03042,3.03042,3.03042,588,13.6585
28.972,-111.278,2026-09-05 03:15:00,NASA_z,MODIS,23.5246,-1,0,0,0,0,0,0
32.1135,-102.291,2026-09-05 03:15:00,NASA_z,MODIS,43.4,M1_50,11.3318,3.16022,3.16022,3.16022,1265,7.55081
30.1815,-94.753,2026-09-05 03:15:00,NASA_z,MODIS,0.5,O1b,0.00711684,0.35,0.35,1.12332,2,17.0061
38.0499,-96.4669,2026-09-05 03:15:00,NASA_z,MODIS,45.4,O1b,0,0.35,0.35,1.1279,0,10.9055
42.1483,-111.941,2026-09-05 03:17:00,NASA_z,MODIS,70.1,farm,12.6976,0.35,0.35,0.46084,1755,2.36307
42.1444,-111.935,2026-09-05 03:17:00,NASA_z,MODIS,70.1,farm,12.6976,0.35,0.35,0.35,1058,2.36307
43.3217,-102.303,2026-09-05 03:17:00,NASA_z,MODIS,75.7,M1_50,34.6716,2.83492,2.83492,2.83492,19628,10.9055
46.496,-105.228,2026-09-05 03:17:00,NASA_z,MODIS,57.8,M1_50,22.2502,2.77476,2.77476,2.77476,13617,10.9055
43.3103,-102.317,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,2.75456,0,10.9055
43.3004,-102.315,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.96507,0,10.9055
43.3118,-102.301,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.59699,0,20.9695
43.3484,-102.345,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,0.960053,0,20.9695
43.347,-102.361,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,0.667568,0,20.9695
43.3316,-102.305,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.33774,0,10.9055
43.3201,-102.319,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.04901,0,10.9055
43.33,-102.32,2026-09-05 03:17:00,NASA_z,MODIS,75.7,M1_50,34.6716,2.83492,2.83492,3.13083,32565,10.9055
58.522,-116.223,2026-09-05 03:21:00,NASA_z,MODIS,0.43,farm,0.007,0.35,0.35,0.750849,2,0.768973
58.5249,-116.206,2026-09-05 03:21:00,NASA_z,MODIS,0.42,M1_50,0.07,0.646,0.646,1.97591,41,4.42683
61.9712,-120.697,2026-09-05 03:21:00,NASA_z,MODIS,4.63,M2_50,0.478,1.614,1.614,4.97457,713,3.88415
52.6138,-134.264,2026-09-05 04:59:00,NASA_z,MODIS,0.6,-1,0,0,0,0,0,0
52.6051,-134.26,2026-09-05 04:59:00,NASA_z,MODIS,0.6,-1,0,0,0,0,0,0
38.277,-77.1272,2026-09-05 06:33:00,NASA_w,VIIRS-I,0.9,M1_50,0.180022,0.89184,0.89184,2.14009,116,17.0061
33.8283,-83.5387,2026-09-05 06:35:00,NASA_w,VIIRS-I,12.2,C6,0.712362,1.10808,1.10808,2.8478,681,17.0061
31.8396,-82.7512,2026-09-05 06:35:00,NASA_w,VIIRS-I,2.2,C6,0.0186755,0.359652,0.359652,2.14508,12,17.0061
31.0533,-88.032,2026-09-05 06:35:00,NASA_w,VIIRS-I,0,C6,0,0.0151005,0.0151005,0.1,0,17.0061
32.8788,-84.9306,2026-09-05 06:35:00,NASA_w,VIIRS-I,7.2,O1b,0.0597408,0.35,0.35,2.26,41,17.0061
31.0462,-88.0321,2026-09-05 06:35:00,NASA_w,VIIRS-I,0,O1b,0,0.35,0.35,0.469924,0,17.0061
31.049,-88.0313,2026-09-05 06:35:00,NASA_w,VIIRS-I,0,O1b,0,0.35,0.35,0.469924,0,17.0061
33.8314,-83.5356,2026-09-05 06:35:00,NASA_w,VIIRS-I,12.2,C6,0.712362,1.10808,1.10808,2.8478,772,17.0061
26.4134,-80.775,2026-09-05 06:37:00,NASA_w,VIIRS-I,1.5,C5,0.00348689,0.0214694,0.0214694,0.734886,1,0.330285
26.4169,-80.7648,2026-09-05 06:37:00,NASA_w,VIIRS-I,1.5,O1b,0.251421,0.35,0.35,0.756442,57,20
35.8768,-88.7182,2026-09-05 07:29:00,NASA_w,VIIRS-I,27.6,farm,0.273607,0.35,0.35,1.61678,133,17.1779
37.1218,-88.052,2026-09-05 07:29:00,NASA_w,VIIRS-I,12.1,farm,0.150794,0.35,0.35,2.9337,133,17.1779
41.3284,-89.9385,2026-09-05 07:31:00,NASA_w,VIIRS-I,19.1,farm,0.273607,0.35,0.35,0.624619,51,17.1779
32.6433,-85.5318,2026-09-05 07:31:00,NASA_w,VIIRS-I,7.2,D2,0.0780142,0.748944,0.748944,3.12378,73,4.02744
33.3857,-87.2032,2026-09-05 07:31:00,NASA_w,VIIRS-I,32.4,C6,7.01231,2.20643,2.94443,3.60148,7576,17.0061
33.8313,-83.5361,2026-09-05 07:31:00,NASA_w,VIIRS-I,12.2,C6,0.712362,1.10808,1.10808,2.8478,772,17.0061
30.8026,-94.4212,2026-09-05 07:31:00,NASA_w,VIIRS-I,3.1,C6,0.0211914,0.790928,0.790928,2.41147,19,17.0061
30.1826,-94.7374,2026-09-05 07:31:00,NASA_w,VIIRS-I,0.5,C3,0,0.110953,0.110953,0.572541,0,17.0061
31.8419,-82.7522,2026-09-05 07:31:00,NASA_w,VIIRS-I,2.2,C3,0,0.550255,0.550255,2.14508,0,17.0061
30.1829,-94.7407,2026-09-05 07:31:00,NASA_w,VIIRS-I,0.5,O1b,0.00711684,0.35,0.35,0.974136,2,17.0061
32.881,-84.9278,2026-09-05 07:31:00,NASA_w,VIIRS-I,7.2,O1b,0.0597408,0.35,0.35,2.26,41,17.0061
32.8816,-84.9319,2026-09-05 07:31:00,NASA_w,VIIRS-I,7.2,O1b,0.0597408,0.35,0.35,1.80222,32,17.0061
