lat,lon,rep_date,source,sensor,fwi,fuel,ros,sfc,tfc,bfc,hfi,estarea
42.1483,-111.941,2026-09-05 03:17:00,NASA_z,MODIS,70.1,farm,12.6976,0.35,0.35,0.46084,1755,2.36307
42.1444,-111.935,2026-09-05 03:17:00,NASA_z,MODIS,70.1,farm,12.6976,0.35,0.35,0.35,1058,2.36307
43.3217,-102.303,2026-09-05 03:17:00,NASA_z,MODIS,75.7,M1_50,34.6716,2.83492,2.83492,2.83492,19628,10.9055
46.496,-105.228,2026-09-05 03:17:00,NASA_z,MODIS,57.8,M1_50,22.2502,2.77476,2.77476,2.77476,13617,10.9055
43.3103,-102.317,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,2.75456,0,10.9055
43.3004,-102.315,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.96507,0,10.9055
43.3118,-102.301,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.59699,0,20.9695
43.3484,-102.345,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,0.960053,0,20.9695
43.347,-102.361,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,0.667568,0,20.9695
43.3316,-102.305,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.33774,0,10.9055
43.3201,-102.319,2026-09-05 03:17:00,NASA_z,MODIS,75.7,O1b,0,0.35,0.35,1.04901,0,10.9055
43.33,-102.32,2026-09-05 03:17:00,NASA_z,MODIS,75.7,M1_50,34.6716,2.83492,2.83492,3.13083,32565,10.9055
58.522,-116.223,2026-09-05 03:21:00,NASA_z,MODIS,0.43,farm,0.007,0.35,0.35,0.750849,2,0.768973
58.5249,-116.206,2026-09-05 03:21:00,NASA_z,MODIS,0.42,M1_50,0.07,0.646,0.646,1.97591,41,4.42683
61.9712,-120.697,2026-09-05 03:21:00,NASA_z,MODIS,4.63,M2_50,0.478,1.614,1.614,4.97457,713,3.88415
52.6138,-134.264,2026-09-05 04:59:00,NASA_z,MODIS,0.6,-1,0,0,0,0,0,0
52.6051,-134.26,2026-09-05 04:59:00,NASA_z,MODIS,0.6,-1,0,0,0,0,0,0
41.3284,-89.9385,2026-09-05 07:31:00,NASA_w,VIIRS-I,19.1,farm,0.273607,0.35,0.35,0.624619,51,17.1779
42.1432,-111.936,2026-09-05 08:13:00,NASA_w,VIIRS-I,70.1,farm,12.6976,0.35,0.35,0.35,1291,2.36307
42.1432,-111.945,2026-09-05 08:13:00,NASA_w,VIIRS-I,70.1,farm,12.6976,0.35,0.35,0.35,1189,2.36307
43.3209,-102.301,2026-09-05 08:13:00,NASA_w,VIIRS-I,75.7,M1_50,34.6716,2.83492,2.83492,2.83492,20968,10.9055
