latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.0173,-122.11496,298.44,0.49,0.65,2026-09-05,0911,N20,nominal,2.0NRT,287.98,1.31,N
37.88639,-121.18802,297.07,0.44,0.62,2026-09-05,0911,N20,nominal,2.0NRT,284.65,0.63,N
37.45629,-121.93674,295.44,0.48,0.64,2026-09-05,0911,N20,nominal,2.0NRT,284.22,0.88,N
36.35687,-114.91147,317.2,0.38,0.43,2026-09-05,0911,N20,nominal,2.0NRT,294.09,1.33,N
35.51906,-113.31406,302.7,0.48,0.4,2026-09-05,0911,N20,nominal,2.0NRT,286.55,1.26,N
34.78055,-112.08408,306.6,0.42,0.38,2026-09-05,0911,N20,nominal,2.0NRT,292.61,0.87,N
34.77536,-117.95782,314.04,0.54,0.51,2026-09-05,0911,N20,nominal,2.0NRT,289.75,2.22,N
34.77071,-117.95842,310.4,0.54,0.51,2026-09-05,0911,N20,nominal,2.0NRT,287.47,2.22,N
34.62109,-117.1035,303.89,0.48,0.48,2026-09-05,0911,N20,nominal,2.0NRT,288.54,1.34,N
34.62134,-117.10011,305.92,0.48,0.48,2026-09-05,0911,N20,nominal,2.0NRT,290.73,1.19,N
34.60783,-117.33654,317.07,0.49,0.49,2026-09-05,0911,N20,nominal,2.0NRT,290.5,2.53,N
34.33556,-118.52046,307.77,0.57,0.52,2026-09-05,0911,N20,nominal,2.0NRT,287.35,1.52,N
33.41843,-110.86388,329.14,0.39,0.36,2026-09-05,0911,N20,nominal,2.0NRT,298.03,28.7,N
33.41451,-110.86046,305.93,0.39,0.36,2026-09-05,0911,N20,nominal,2.0NRT,293.74,1.05,N
34.23004,-117.66392,298.72,0.51,0.49,2026-09-05,0911,N20,nominal,2.0NRT,285.63,0.61,N
34.15313,-118.19698,308.66,0.54,0.51,2026-09-05,0913,N20,nominal,2.0NRT,288.41,1.09,N
34.0408,-117.8218,299.54,0.52,0.5,2026-09-05,0913,N20,nominal,2.0NRT,289.43,0.42,N
33.79453,-117.47465,303.83,0.49,0.49,2026-09-05,0913,N20,nominal,2.0NRT,288.53,0.99,N
33.71613,-117.7111,306.92,0.5,0.49,2026-09-05,0913,N20,nominal,2.0NRT,288.37,0.81,N
33.71525,-117.71238,302.69,0.5,0.49,2026-09-05,0913,N20,nominal,2.0NRT,287.76,0.84,N
33.61531,-117.82684,302.54,0.51,0.49,2026-09-05,0913,N20,nominal,2.0NRT,287.68,0.46,N
